Número Identificador,Nome,Artigos Completos em Periódicos,Ano do Primeiro Artigo,Ano do Último Artigo,Livros Publicados/Organizados,Ano do Primeiro Livro,Ano do Último Livro,Capítulos de Livros Publicados,Ano do Primeiro Capítulo,Ano do Último Capítulo,Trabalhos Completos em Anais de Congressos,Ano do Primeiro Trabalho,Ano do Último Trabalho,Resumos Expandidos em Anais de Congressos,Ano do Primeiro Resumo Expandido,Ano do Último Resumo Expandido,Resumos em Anais de Congressos,Ano do Primeiro Resumo,Ano do Último Resumo,Apresentação de Trabalhos,Ano da Primeira Apresentação,Ano da Última Apresentação
0001425259162429,Eder Eugenio Munhão,6,2012,2013,0,,,0,,,2,2014,2011,0,,,0,,,1,2011,2011
0001437184013714,Eloisa Toffano Seidel Masson,4,2016,2015,2,2018,2019,0,,,5,2014,2017,0,,,0,,,3,2014,2014
0001473565786976,Leiliane Aparecida Alcantara Felix,0,,,0,,,0,,,6,2013,2017,0,,,0,,,14,2012,2017
0001490819034799,Luiz Eduardo Gapanowicz,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001491955099628,Martina Gaudie Ley Recena,3,2018,2019,0,,,1,2020,2020,0,,,0,,,0,,,3,2019,2018
0001497839775404,Danilo Aparecido Serafim Alves,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001502598657219,Fernanda Maia Lyrio,3,2011,2010,1,2008,2008,8,2008,2014,5,2006,2013,4,2003,2008,2,2010,2011,41,2003,2012
0001515719558968,Cristiani Passolongo Noveli,8,2004,2011,0,,,0,,,22,2003,2018,1,2004,2004,0,,,10,2003,2005
0001524993309289,Danieli Bariviera Zitterell,4,2007,2014,0,,,0,,,1,2008,2008,6,2005,2007,5,2006,2009,5,2006,2006
0001526633798453,Ramon de Almeida Kruschewsky,14,2004,2008,0,,,0,,,10,2000,2010,9,2004,2008,0,,,6,2007,2009
0001538265306784,Licia Felix de Andrade Ramalho,1,2015,2015,0,,,0,,,0,,,0,,,0,,,0,,
0001574402375893,Francileine Rodrigues da Conceição,2,2018,2017,0,,,3,2018,2018,13,2016,2017,7,2018,2020,0,,,3,2017,2020
0001583951154781,Aízis Tatiane Santos Gonçalves,0,,,0,,,0,,,0,,,2,2011,2013,0,,,3,2011,2011
0001611130658482,Daiane Petry,0,,,0,,,0,,,0,,,1,2011,2011,0,,,0,,
0001616103695815,Saima Khan,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001617988838816,Paula Martins da Silva Costa,6,2020,2021,0,,,4,2020,2021,6,2020,2020,0,,,0,,,6,2019,2020
0001631410180182,Vanusa Belarmino,4,2017,2016,0,,,0,,,0,,,0,,,0,,,6,2016,2017
0001651504140762,José Afonso Passotto,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001653143485440,Cláudia de Matos Fernandes,0,,,0,,,0,,,2,2002,2002,2,2000,2001,24,2000,2001,8,2005,2005
0001673146416401,Carine de Oliveira Souza Bordallo,6,2009,2012,0,,,0,,,0,,,5,2011,2014,0,,,1,2008,2008
0001679669878856,Aylton,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001705958784703,Carolina Tavares Sancho Monteiro,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001706761230258,Alessandra Barreto da Silva,1,2014,2014,0,,,0,,,0,,,0,,,0,,,3,2014,2014
0001709989882599,Ivana de Oliveira Lima,0,,,0,,,0,,,1,2002,2002,16,2002,2002,0,,,4,2004,2004
0001714446337215,Luciane Hinterholz,0,,,0,,,0,,,0,,,1,2008,2008,1,2018,2018,4,2008,2008
0001731869354261,Marcus Vinícius Ruiz Gusman,0,,,0,,,0,,,1,1998,1998,0,,,0,,,0,,
0001740296840278,Deivid Antunes Tesch,1,2018,2018,0,,,0,,,3,2015,2017,0,,,0,,,0,,
0001772074458115,Renata Pereira Cardoso,0,,,0,,,0,,,4,2014,2020,0,,,0,,,4,2014,2019
0001784225478491,Osmany Mendes Parente Filho,0,,,2,2017,2017,0,,,3,2016,2016,0,,,0,,,3,2006,2012
0001791688931852,Walid Machado Botelho Arabi,1,2007,2007,0,,,1,2015,2015,0,,,0,,,0,,,0,,
0001793352179270,Jhony Moreira Marcelino,3,2018,2020,0,,,0,,,0,,,0,,,0,,,0,,
0001798856111412,Érica Arrué Dias,2,2017,2015,0,,,1,2017,2017,5,2015,2015,0,,,0,,,1,2013,2013
0001800676412256,Claudia Rafaela Cecchin,7,2008,2007,0,,,0,,,0,,,63,2007,2006,0,,,4,2002,2002
0001828399067959,Vagner Gomes Machado,3,2018,2021,5,2018,2020,12,2017,2020,1,2019,2019,4,2018,2019,1,2017,2017,27,2017,2020
0001828581674972,Dayanne Schetz,2,2013,2014,0,,,3,2010,2012,10,2010,2019,0,,,0,,,16,2010,2011
0001835619038835,Paulo Henrique Meller Sobreira,3,2017,2019,0,,,0,,,0,,,6,2015,2018,1,2014,2014,0,,
0001879810909006,Paulo Cesar Zebediff de Almeida,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001888086713477,Viviana Gonçalves Silva,0,,,0,,,0,,,0,,,0,,,0,,,10,2005,2001
0001930305994010,Ademir Campos da Costa,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001933181864132,Renata da Silva Winning,0,,,0,,,0,,,0,,,0,,,0,,,4,2019,2020
0001958208098314,Simone Guimarães Teixeira Souto,43,2012,2021,0,,,0,,,1,2014,2014,36,1999,2012,6,2010,2017,41,2008,2017
,Kaloyan Nikolaev Kenov,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001972327320026,Alex Junior Rapczynski,0,,,0,,,1,2020,2020,0,,,0,,,1,2019,2019,2,2018,2017
0001988603458246,Emanoelle Patente Santos,0,,,0,,,1,2017,2017,1,2015,2015,0,,,0,,,0,,
0001997605231221,José Anchieta Bezerra de Melo,2,2012,2019,1,2011,2011,1,2012,2012,22,2005,2019,13,2004,2004,6,2015,2018,13,2007,2015
,Carlos Alberto Moysés,0,,,1,1992,1992,0,,,0,,,0,,,1,2000,2000,0,,
0002022806549321,Letícia Naresse Zambon,2,2016,2014,1,2017,2017,0,,,0,,,0,,,0,,,0,,
0002027463902779,Patrícia Aparecida Proença Avila,2,2011,2011,0,,,0,,,3,2008,2009,0,,,0,,,2,2017,2008
0002033378467661,Vivian Monica Faria,1,2009,2009,0,,,0,,,0,,,0,,,0,,,1,2007,2007
0002035835815084,Cristiane Leitão da Silva,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,Rosilene Cardoso Barbosa,0,,,0,,,0,,,0,,,34,1993,2011,0,,,4,2007,2010
0002042606347002,Renata Tatsch Eidt,5,2014,2014,0,,,1,2012,2012,0,,,6,2012,2017,3,2015,2015,8,2012,2018
0002066159789683,Camila de Paula Maria da Silva,0,,,0,,,0,,,0,,,2,2012,2012,0,,,12,2010,2010
0002074820320950,Cíntia Helena Monteiro Borges,1,2014,2014,0,,,0,,,0,,,0,,,0,,,0,,
0002082025602962,Maryana Lemos Nogueira Rela,0,,,0,,,0,,,3,2013,2016,1,2013,2013,0,,,4,2013,2011
0002099789541475,Irán Fernández Torres,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0002111752747216,Carlos Rubens Zacarias,2,2013,2009,0,,,0,,,6,1981,1979,3,1988,1978,1,1999,1999,11,2013,2015
0002118748978807,Marcus Fabrício Gonçalves Oliveira,2,2018,2015,0,,,0,,,0,,,1,2018,2018,0,,,2,2008,2015
,Letácio Fonseca do Nascimento,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0002164831174946,Raysa Calegari Aguiar,1,2021,2021,0,,,0,,,0,,,0,,,0,,,1,2019,2019
0002174816941944,Mateus Rodrigues Barbosa,1,2020,2020,0,,,0,,,0,,,0,,,0,,,0,,
0002181884103709,Ana Lídia Gonçalves Medeiros,1,2016,2016,0,,,2,2016,2020,0,,,8,2010,2013,1,2012,2012,13,2011,2011
0002187508747595,Neucimar de Oliveira Duarte,1,2011,2011,0,,,0,,,0,,,2,2010,2010,0,,,3,1994,2009
0002199020873461,Filipe Galina Costalonga,2,2019,2017,0,,,1,2017,2017,9,2016,2020,0,,,0,,,6,2016,2016
0002222960774045,Cassio Gerez,5,2018,2021,0,,,0,,,5,2017,2021,0,,,1,2017,2017,2,2017,2020
0002225725068045,Nikolay Rutkevich,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0002227533185907,Fernanda da Silva Gomes,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0002230592908820,Arthur Ambrogi,0,,,0,,,2,2015,2018,0,,,0,,,0,,,2,2017,2018
,Alexandre Magno Junqueira Enout,2,2009,2012,1,2012,2012,0,,,0,,,7,2007,2009,0,,,0,,
0002254037931501,Ivonicleia Gonçalves Boroto,1,2019,2019,0,,,0,,,0,,,1,2003,2003,0,,,7,2006,2006
0002277664242727,Alícia Giolo Hippólito,11,2017,2020,0,,,2,2019,2019,0,,,40,2013,2011,10,2013,2018,2,2018,2014
0002289157115746,Bruno Polloni,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,Marilza Pacheco Almeida,0,,,0,,,0,,,0,,,3,2001,1998,0,,,0,,
0002309087658707,Renan Moreira Madeira,1,2021,2021,0,,,0,,,4,2018,2017,0,,,0,,,5,2017,2018
0002324418333221,Érika Abreu Pereira,2,2020,2021,0,,,1,2020,2020,1,2019,2019,0,,,0,,,2,2015,2018
0002376330121066,Thiago Canhos Montmorency Silva,1,2019,2019,0,,,0,,,6,2014,2014,0,,,0,,,14,2016,2017
0002456145267675,Liliana Pimentel,0,,,0,,,1,2017,2017,0,,,0,,,0,,,13,2010,2014
0002465740899549,Fernanda Semião Garcia Pedra,1,2020,2020,0,,,1,2010,2010,0,,,0,,,0,,,16,2009,2015
0002469215796203,Andressa Ferreira Lamas Guarconi,1,2008,2008,0,,,0,,,0,,,4,1993,2008,0,,,19,1993,2008
0002493875359898,Lilianne Cabral Rabelo,0,,,0,,,0,,,0,,,0,,,0,,,2,2013,2012
0002522249716576,Marianne Trindade Câmara,1,2010,2010,0,,,1,2006,2006,11,2003,2007,6,2000,2005,0,,,4,2000,2005
0002584051048658,Joselene Vaz da Silva,0,,,0,,,1,2015,2015,0,,,1,2014,2014,0,,,5,2007,2015
,Vania Maria De Paoli,2,1997,2002,0,,,0,,,0,,,0,,,0,,,0,,
0002666383068853,Alexandre Elmães de Marsillac,1,2005,2005,0,,,0,,,0,,,0,,,0,,,1,2018,2018
0002691262341536,Rodrigo Borges de Almeida,1,2017,2017,0,,,0,,,4,2016,2016,0,,,0,,,1,2015,2015
0002724571060451,Ana Cláudia Alves de Oliveira Santos,6,2010,2014,0,,,0,,,0,,,0,,,6,2011,2011,6,2009,2009
0002760226044780,Patricia Zamprogno Tavares,2,2011,2014,0,,,1,2013,2013,8,2010,2016,2,2011,2015,0,,,8,2012,2010
0002769634690374,Alice Patrícia Lopes Faro e Santos,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0002780356264414,Javiera Fernanda Medina Macaya,2,2021,2018,3,2016,2021,7,2018,2021,8,2016,2020,0,,,2,2016,2020,4,2018,2019
0002788091649909,Josefa Fernanda Evangelista de Lacerda,3,2016,2021,0,,,1,2020,2020,1,2015,2015,21,2015,2014,4,2014,2019,11,2015,2017
0002789608551340,Sérgio Julián Zanella Martínez Caro,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0002796832376397,Darlan Bernardes,3,2002,2008,0,,,0,,,2,2002,2007,0,,,0,,,0,,
0002803326787406,Suenny Mascarenhas Souza,0,,,0,,,0,,,7,2018,2015,0,,,0,,,0,,
0002808036911233,Maria Bernardete Alves Feitosa,0,,,0,,,1,2009,2009,0,,,0,,,0,,,1,2016,2016
0002814840611184,Carlos Gomes de Oliveira Filho,4,2011,2010,5,2012,2018,0,,,2,2009,2015,0,,,0,,,13,2009,2015
0002857295325619,Adeline Chaicouski Meneguzzo,12,2009,2014,0,,,0,,,3,2011,2011,1,2013,2013,0,,,6,2011,2013
0002900397911881,Yara Fernanda Novatzki,1,2014,2014,0,,,1,2010,2010,9,2011,2017,10,2010,2015,15,2010,2017,34,2010,2015
0002904336444966,Gerson Elieser Freitas de Morais,0,,,0,,,0,,,0,,,0,,,0,,,1,2014,2014
0002940318957383,Elen Amoreli Gonçalves Cintra Miranda,0,,,0,,,0,,,0,,,0,,,0,,,7,2011,2011
0002985365534156,Helena Sordili Ishara,0,,,0,,,0,,,0,,,1,2001,2001,1,2004,2004,0,,
0002997622801475,Sting Silva Duarte,4,2018,2019,0,,,0,,,0,,,8,2017,2014,0,,,8,2015,2016
0003004482837380,Fernanda Assumpção Castro,0,,,0,,,0,,,4,2001,2002,2,2004,2005,13,2001,2005,0,,
0003007440493727,Rosangela Goes Rabelo,4,2002,2000,5,2001,2002,2,2009,2002,4,1998,2001,2,2000,1995,0,,,7,1995,2001
0003008185158018,Camila Sousa da Silva,0,,,3,2018,2020,6,2016,2020,3,2016,2017,15,2017,2019,2,2015,2015,16,2012,2015
0003044666675940,Luiz Roberto Salomão,1,2008,2008,0,,,0,,,0,,,0,,,0,,,4,2006,2008
0003052242458832,Júlio Moraes Oliveira,56,2008,2013,9,2014,2012,8,2013,2014,0,,,4,2016,2016,0,,,12,2011,2015
0003066319741727,Edward Valeriano de Luiz Gonçalves Ayres de Abreu,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0003077893435384,Thais Deluno Garcia,0,,,0,,,0,,,0,,,1,2015,2015,0,,,3,2015,2017
